genus,family,order,clade
Abronia,Nyctaginaceae,Caryophyllales,other Angiosperms
Abuta,Menispermaceae,Ranunculales,other Angiosperms
Acanthocereus,Cactaceae,Caryophyllales,other Angiosperms
Acantholimon,Plumbaginaceae,Caryophyllales,other Angiosperms
Acanthophyllum,Caryophyllaceae,Caryophyllales,other Angiosperms
Acanthoscyphus,Polygonaceae,Caryophyllales,other Angiosperms
Acanthosyris,Santalaceae,Santalales,other Angiosperms
Achatocarpus,Achatocarpaceae,Caryophyllales,other Angiosperms
Achlys,Berberidaceae,Ranunculales,other Angiosperms
Achyranthes,Amaranthaceae,Caryophyllales,other Angiosperms
Achyronychia,Caryophyllaceae,Caryophyllales,other Angiosperms
Achyropsis,Amaranthaceae,Caryophyllales,other Angiosperms
Acidonia,Proteaceae,Proteales,other Angiosperms
Acleisanthes,Nyctaginaceae,Caryophyllales,other Angiosperms
Aconitum,Ranunculaceae,Ranunculales,other Angiosperms
Aconogonum,Polygonaceae,Caryophyllales,other Angiosperms
Acrodon,Aizoaceae,Caryophyllales,other Angiosperms
Acroglochin,Amaranthaceae,Caryophyllales,other Angiosperms
Acrosanthes,Aizoaceae,Caryophyllales,other Angiosperms
Acrotrema,Dilleniaceae,Dilleniales,other Angiosperms
Actaea,Ranunculaceae,Ranunculales,other Angiosperms
Actinanthella,Loranthaceae,Santalales,other Angiosperms
Actinodaphne,Lauraceae,Laurales,other Angiosperms
Adenanthos,Proteaceae,Proteales,other Angiosperms
Adenogramma,Molluginaceae,Caryophyllales,other Angiosperms
Adlumia,Papaveraceae,Ranunculales,other Angiosperms
Adonis,Ranunculaceae,Ranunculales,other Angiosperms
Adromischus,Crassulaceae,Saxifragales,other Angiosperms
Aegialitis,Plumbaginaceae,Caryophyllales,other Angiosperms
Aeonium,Crassulaceae,Saxifragales,other Angiosperms
Aerva,Amaranthaceae,Caryophyllales,other Angiosperms
Aetanthus,Loranthaceae,Santalales,other Angiosperms
Aextoxicon,Aextoxicaceae,Berberidopsidales,other Angiosperms
Afrobrunnichia,Polygonaceae,Caryophyllales,other Angiosperms
Afroguatteria,Annonaceae,Magnoliales,other Angiosperms
Afrolimon,Plumbaginaceae,Caryophyllales,other Angiosperms
Afrovivella,Crassulaceae,Saxifragales,other Angiosperms
Agastachys,Proteaceae,Proteales,other Angiosperms
Agdestis,Phytolaccaceae,Caryophyllales,other Angiosperms
Agelanthus,Loranthaceae,Santalales,other Angiosperms
Agonandra,Opiliaceae,Santalales,other Angiosperms
Agriophyllum,Amaranthaceae,Caryophyllales,other Angiosperms
Agrostemma,Caryophyllaceae,Caryophyllales,other Angiosperms
Aichryson,Crassulaceae,Saxifragales,other Angiosperms
Aiouea,Lauraceae,Laurales,other Angiosperms
Aizoanthemum,Aizoaceae,Caryophyllales,other Angiosperms
Aizoon,Aizoaceae,Caryophyllales,other Angiosperms
Akebia,Lardizabalaceae,Ranunculales,other Angiosperms
Albertisia,Menispermaceae,Ranunculales,other Angiosperms
Aldrovanda,Droseraceae,Caryophyllales,other Angiosperms
Alepis,Loranthaceae,Santalales,other Angiosperms
Allenrolfea,Amaranthaceae,Caryophyllales,other Angiosperms
Allionia,Nyctaginaceae,Caryophyllales,other Angiosperms
