genus,time,n,n2,diver,family,order,clade
Abronia,324.123108,28,26,0.0074,Nyctaginaceae,Caryophyllales,other Angiosperms
Abuta,314.554808,33,30,0.0081,Menispermaceae,Ranunculales,other Angiosperms
Acanthocereus,321.939683,5,6,0.0024,Cactaceae,Caryophyllales,other Angiosperms
Acantholimon,311.927818,294,298,0.0151,Plumbaginaceae,Caryophyllales,other Angiosperms
Acanthophyllum,315.236397,59,68,0.0099,Caryophyllaceae,Caryophyllales,other Angiosperms
Acanthoscyphus,304.003026,1,2,0,Polygonaceae,Caryophyllales,other Angiosperms
Acanthosyris,319.68161,6,2,0.003,Santalaceae,Santalales,other Angiosperms
Achatocarpus,322.9285945,10,9,0.0044,Achatocarpaceae,Caryophyllales,other Angiosperms
Achlys,324.033449,2,2,0,Berberidaceae,Ranunculales,other Angiosperms
Achyranthes,321.481186,12,68,0.0049,Amaranthaceae,Caryophyllales,other Angiosperms
Achyronychia,314.65386,1,1,0,Caryophyllaceae,Caryophyllales,other Angiosperms
Achyropsis,321.307854,6,16,0.0029,Amaranthaceae,Caryophyllales,other Angiosperms
Acidonia,322.105601,1,1,0,Proteaceae,Proteales,other Angiosperms
Acleisanthes,313.766474,17,18,0.0061,Nyctaginaceae,Caryophyllales,other Angiosperms
Aconitum,317.452259,321,411,0.0151,Ranunculaceae,Ranunculales,other Angiosperms
Aconogonum,315.940616,3,4,0.0011,Polygonaceae,Caryophyllales,other Angiosperms
Acrodon,322.500479,8,6,0.0037,Aizoaceae,Caryophyllales,other Angiosperms
Acroglochin,323.11329,2,1,0,Amaranthaceae,Caryophyllales,other Angiosperms
Acrosanthes,312.182517,6,6,0.003,Aizoaceae,Caryophyllales,other Angiosperms
Acrotrema,314.929629,10,11,0.0045,Dilleniaceae,Dilleniales,other Angiosperms
Actaea,314.66841,29,36,0.0077,Ranunculaceae,Ranunculales,other Angiosperms
Actinanthella,322.667368,2,1,0,Loranthaceae,Santalales,other Angiosperms
Actinodaphne,318.614295,137,113,0.0124,Lauraceae,Laurales,other Angiosperms
Adenanthos,318.947304,34,35,0.0081,Proteaceae,Proteales,other Angiosperms
Adenogramma,314.601926,11,12,0.0047,Molluginaceae,Caryophyllales,other Angiosperms
Adlumia,323.039658,2,2,0,Papaveraceae,Ranunculales,other Angiosperms
Adonis,314.993681,31,39,0.0079,Ranunculaceae,Ranunculales,other Angiosperms
Adromischus,305.2526738,30,33,0.008,Crassulaceae,Saxifragales,other Angiosperms
Aegialitis,304.211003,2,2,0,Plumbaginaceae,Caryophyllales,other Angiosperms
Aeonium,321.3281866,37,106,0.0083,Crassulaceae,Saxifragales,other Angiosperms
Aerva,309.401114,20,26,0.0067,Amaranthaceae,Caryophyllales,other Angiosperms
Aetanthus,313.4836695,16,17,0.0059,Loranthaceae,Santalales,other Angiosperms
