"stem.age","family"
151.217066,"Acoraceae"
109.887876,"Alismataceae"
92.755025,"Butomaceae"
92.755025,"Hydrocharitaceae"
122.675728,"Aponogetonaceae"
62.644293,"Cymodoceaceae"
62.644293,"Ruppiaceae"
71.605331,"Posidoniaceae"
68.711629,"Potamogetonaceae"
68.711629,"Zosteraceae"
93.917118,"Maundiaceae"
103.17416,"Juncaginaceae"
115.809008,"Scheuchzeriaceae"
142.691852,"Araceae"
144.571694,"Tofieldiaceae"
125.037896,"Arecaceae"
125.037896,"Dasypogonaceae"
96.530875,"Commelinaceae"
96.530875,"Hanguanaceae"
80.108456,"Haemodoraceae"
80.108456,"Pontederiaceae"
98.975817,"Philydraceae"
64.915506,"Cannaceae"
64.915506,"Marantaceae"
73.201797,"Costaceae"
73.201797,"Zingiberaceae"
88.756183,"Musaceae"
75.638722,"Heliconiaceae"
58.214306,"Lowiaceae"
58.214306,"Strelitiziaceae"
118.223675,"Bromeliaceae"
118.223675,"Typhaceae"
85.973846,"Cyperaceae"
85.973846,"Juncaceae"
106.425232,"Thurniaceae"
93.121451,"Ecdeiocoleaceae"
93.121451,"Poaceae"
97.594749,"Joinvilleaceae"
103.644282,"Flagellariaceae"
107.190912,"Restionaceae"
113.099748,"Xyridaceae"
116.086598,"Eriocaulaceae"
118.939452,"Mayacaceae"
124.581463,"Rapateaceae"
65.933911,"Amaryllidaceae"
65.933911,"Asparagaceae"
75.594574,"Asphodelaceae"
86.020675,"Xeronemataceae"
97.410951,"Iridaceae"
105.180397,"Doryanthaceae"
92.123979,"Ixioliriaceae"
92.123979,"Tecophilaeaceae"
65.158221,"Asteliaceae"
48.662821,"Hypoxidaceae"
48.662821,"Lanariaceae"
87.688841,"Blandfordiaceae"
107.40877,"Boryaceae"
133.685566,"Orchidaceae"
72.522256,"Alstroemeriaceae"
72.522256,"Colchicaceae"
99.720003,"Petermaniaceae"
75.59604,"Liliaceae"
56.83424,"Philesiaceae"
56.83424,"Rhipogonaceae"
81.291945,"Smilacaceae"
113.869785,"Melanthiaceae"
97.085942,"Campynemataceae"
97.085942,"Corsiaceae"
107.265179,"Afrothismieae"
95.16064,"Dioscoreaceae"
76.42393,"Taccaceae"
76.42393,"Thismiaceae"
119.477296,"Nartheciaceae"
127.011009,"Burmanniaceae"
74.760941,"Cyclanthaceae"
74.760941,"Triuridaceae"
84.16456,"Pandanaceae"
104.963847,"Stemonaceae"
117.914905,"Velloziaceae"
145.477779,"Petrosaviaceae"
153.812037,"Chloranthaceae"
130.42754,"Canellaceae"
130.42754,"Winteraceae"
133.815686,"Aristolochiaceae"
94.38711,"Piperaceae"
94.38711,"Saururaceae"
78.787059,"Atherospermataceae"
78.787059,"Gomortegaceae"
99.673414,"Siparunaceae"
104.432906,"Hernandiaceae"
104.432906,"Monimiaceae"
110.829341,"Lauraceae"
132.238582,"Calycanthaceae"
97.161617,"Annonaceae"
97.161617,"Eupomatiaceae"
112.613435,"Magnoliaceae"
99.045841,"Degeneriaceae"
99.045841,"Himantandraceae"
131.416472,"Myristicaceae"
69.484987,"Apiaceae"
69.484987,"Myodocarpaceae"
73.786094,"Araliaceae"
77.640007,"Pittosporaceae"
84.083588,"Torricelliaceae"
86.841114,"Griseliniaceae"
97.34115,"Pennantiaceae"
97.829816,"Columelliaceae"
85.624508,"Adoxaceae"
85.624508,"Caprifoliaceae"
108.400262,"Escalloniaceae"
111.505555,"Paracryphiaceae"
114.458127,"Bruniaceae"
86.456359,"Alseuosmiaceae"
76.79422,"Argophyllaceae"
76.79422,"Phellinaceae"
94.287512,"Stylidaceae"
74.027241,"Asteraceae"
74.027241,"Calyceraceae"
80.065632,"Goodeniaceae"
91.233004,"Menyanthaceae"
102.85218,"Pentaphragmataceae"
101.743327,"Campanulaceae"
101.743327,"Rousseaceae"
74.597266,"Aquifoliaceae"
61.695571,"Helwingiaceae"
61.695571,"Phyllonomaceae"
87.581171,"Cardiopteridaceae"
87.581171,"Stemonuraceae"
52.863494,"Boraginaceae"
52.863494,"Wellstediaceae"
72.447574,"Codonaceae"
38.486073,"Coldeniaceae"
38.486073,"Hoplestigmataceae"
43.276622,"Cordiaceae"
59.235404,"Ehretiaceae"
63.765498,"Heliotropiaceae"
67.381929,"Namaceae"
71.630443,"Hydrophyllaceae"
72.285244,"Acanthaceae"
51.657017,"Bignoniaceae"
51.657017,"Verbenaceae"
53.346858,"Schlegeliaceae"
53.346858,"Thomandersiaceae"
57.97407,"Martyniaceae"
70.251917,"Lamiaceae"
67.981076,"Mazaceae"
63.37031,"Orobanchaceae"
63.37031,"Paulowniaceae"
65.774484,"Phrymaceae"
68.525407,"Lentibulariaceae"
68.525407,"Pedaliaceae"
73.460276,"Byblidaceae"
73.460276,"Stilbaceae"
78.572686,"Linderniaceae"
79.829163,"Scrophulariaceae"
82.824618,"Plantaginaceae"
69.363822,"Calceolariaceae"
69.363822,"Peltantheraceae"
76.607441,"Gesneriaceae"
93.724745,"Tetrachondraceae"
59.073761,"Carlemanniaceae"
59.073761,"Oleaceae"
105.324874,"Plocospermataceae"
90.608454,"Apocynaceae"
90.608454,"Gelsemiaceae"
90.428759,"Gentianaceae"
90.428759,"Loganiaceae"
105.089439,"Rubiaceae"
90.893972,"Convolvulaceae"
90.893972,"Solanaceae"
68.203071,"Hydroleaceae"
68.203071,"Sphenocleaceae"
92.706028,"Montiniaceae"
119.978581,"Vahliaceae"
70.191285,"Eucommiaceae"
70.191285,"Garryaceae"
118.629051,"Icacinaceae"
118.128853,"Oncothecaceae"
118.128853,"Metteniusaceae"
94.426958,"Actinidiaceae"
94.426958,"Roridulaceae"
99.303723,"Sarraceniaceae"
98.665884,"Clethraceae"
95.186204,"Cyrillaceae"
95.186204,"Ericaceae"
71.305341,"Diapensiaceae"
71.305341,"Mitrastemonaceae"
88.131637,"Styracaceae"
99.218586,"Symplocaceae"
103.559732,"Theaceae"
110.689766,"Sapotaceae"
97.355192,"Pentaphylacaceae"
97.355192,"Sladeniaceae"
110.72959,"Ebenaceae"
110.72959,"Lecythidaceae"
97.795336,"Fouquieriaceae"
97.795336,"Polemoniaceae"
119.572201,"Primulaceae"
54.855273,"Balsaminaceae"
54.855273,"Tetrameristaceae"
63.920747,"Marcgraviaceae"
101.267816,"Cornaceae"
