"stem.age","genus"
0.427931,"Stylotrichium"
0.427931,"Lasiolaena"
0.429713,"Semiria"
0.526544,"Bishopiella"
0.715145,"Agrianthus"
0.715145,"Arrojadocharis"
0.380483,"Vittetia"
0.380483,"Barrosoa"
0.401242,"Catolesia"
0.401242,"Bahianthus"
0.603581,"Morithamnus"
0.383132,"Acritopappus"
0.383132,"Scherya"
1.47589,"Litothamnus"
0.356536,"Conocliniopsis"
0.356536,"Bejaranoa"
0.590304,"Dasycondylus"
1.02561,"Prolobus"
0.384253,"Gyptis"
0.384253,"Stomatanthes"
1.101264,"Austroeupatorium"
1.583846,"Pseudobrickellia"
2.890474,"Heterocondylus"
2.020923,"Trichogonia"
2.020923,"Platypodanthera"
2.616863,"Trichogoniopsis"
2.90909,"Ageratum"
3.21758,"Campuloclinium"
3.21758,"Urolepis"
3.688266,"Campovassouria"
3.847682,"Adenostemma"
3.847682,"Gymnocoronis"
3.66297,"Ayapana"
3.66297,"Isocarpha"
2.248872,"Chromolaena"
2.248872,"Praxelis"
4.092552,"Critonia"
1.97723,"Steviopsis"
1.97723,"Koanophyllon"
2.719222,"Fleischmannia"
2.719222,"Macropodina"
1.063437,"Liatris"
1.063437,"Carphephorus"
1.264732,"Hartwrightia"
1.706684,"Garberia"
4.34785,"Eupatorium"
4.45865,"Eutrochium"
4.849129,"Brickelliastrum"
4.849129,"Carminatia"
5.410163,"Brickellia"
5.410163,"Pleurocoronis"
6.015419,"Asanthus"
4.107708,"Calea"
4.107708,"Mikania"
3.408399,"Trichocoronis"
3.408399,"Shinnersia"
5.631997,"Sclerolepis"
8.340958,"Ageratina"
4.78356,"Stevia"
4.78356,"Carphochaete"
8.074136,"Hofmeisteria"
8.843945,"Piqueria"
4.291297,"Perityle"
4.291297,"Pericome"
4.636253,"Amauria"
5.334209,"Eutetras"
7.983106,"Villanova"
7.983106,"Galeana"
3.130297,"Deinandra"
3.130297,"Holocarpha"
3.713026,"Calycadenia"
3.713026,"Hemizonia"
4.305177,"Blepharizonia"
4.216471,"Layia"
4.216471,"Lagophylla"
3.195317,"Raillardella"
3.195317,"Adenothamnus"
1.09175,"Dubautia"
1.043023,"Argyroxiphium"
1.043023,"Wilkesia"
2.35205,"Madia"
2.35205,"Carlquistia"
3.664495,"Anisocarpus"
3.064948,"Kyhosia"
3.064948,"Hemizonella"
4.257248,"Holozonia"
4.740244,"Osmadenia"
4.740244,"Harmonia"
5.919959,"Blepharipappus"
6.499401,"Arnica"
8.46601,"Venegasia"
5.82598,"Lasthenia"
1.044607,"Amblyopappus"
1.044607,"Baeriopsis"
2.823714,"Eriophyllum"
2.823714,"Pseudobahia"
3.560654,"Syntrichopappus"
6.739319,"Constancea"
7.042833,"Monolopia"
4.506562,"Hulsea"
4.506562,"Eatonella"
9.828631,"Guardiola"
4.297159,"Hymenothrix"
4.297159,"Palafoxia"
4.723058,"Florestina"
2.697015,"Picradeniopsis"
2.697015,"Apostates"
3.50967,"Achyropappus"
3.50967,"Holoschkuhria"
7.857438,"Schkuhria"
6.80557,"Psathyrotopsis"
6.80557,"Thymopsis"
7.329889,"Peucephyllum"
7.175734,"Bartlettia"
7.175734,"Chamaechaenactis"
5.252322,"Chaetymenia"
5.252322,"Hypericophyllum"
6.095371,"Espejoa"
9.99468,"Loxothysanus"
6.661027,"Chaenactis"
5.802433,"Dimeresia"
5.802433,"Orochaenactis"
2.838043,"Gaillardia"
2.838043,"Balduina"
4.784398,"Helenium"
5.18972,"Hymenoxys"
4.279719,"Tetraneuris"
4.279719,"Amblyolepis"
5.439985,"Baileya"
5.936534,"Psilostrophe"
9.536551,"Plateilema"
9.88796,"Marshallia"
4.395621,"Psathyrotes"
4.395621,"Trichoptilium"
6.387744,"Pelucha"
12.072756,"Neurolaena"
5.329128,"Pectis"
5.329128,"Porophyllum"
7.483629,"Jamesianthus"
7.483629,"Boeberastrum"
8.441013,"Nicolletia"
8.976772,"Chrysactinia"
6.868306,"Tagetes"
6.868306,"Hydropectis"
4.289601,"Urbinella"
4.289601,"Leucactinia"
6.947191,"Bajacalia"
8.647067,"Clappia"
2.246921,"Thymophylla"
2.246921,"Strotheria"
6.853344,"Adenophyllum"
7.439874,"Dysodiopsis"
2.796853,"Gymnolaena"
2.796853,"Boeberoides"
3.572639,"Dyssodia"
5.404321,"Comaclinium"
5.648621,"Schizotrichia"
10.806002,"Oxypappus"
11.362299,"Pseudoclappia"
3.801649,"Flaveria"
3.801649,"Sartwellia"
4.35864,"Haploesthes"
12.147281,"Jaumea"
9.144301,"Varilla"
9.144301,"Coulterella"
2.026849,"Espeletia"
2.026849,"Coespeletia"
1.728633,"Ruilopezia"
1.728633,"Libanothamnus"
2.082963,"Carramboa"
2.547404,"Espeletiopsis"
4.708205,"Ichthyothere"
5.460118,"Smallanthus"
1.616561,"Sigesbeckia"
1.616561,"Axiniphyllum"
1.039851,"Trigonospermum"
1.039851,"Milleria"
5.165081,"Rumfordia"
6.254889,"Galinsoga"
6.254889,"Tridax"
7.403911,"Melampodium"
1.608377,"Acanthospermum"
1.608377,"Lecocarpus"
12.350027,"Polymnia"
1.948878,"Viguiera"
1.948878,"Aldama"
1.461322,"Tithonia"
1.461322,"Lagascea"
1.825849,"Simsia"
1.825849,"Davilanthus"
1.279739,"Pappobolus"
1.279739,"Syncretocarpus"
1.46239,"Scalesia"
1.917777,"Helianthus"
1.917777,"Phoebanthus"
3.275985,"Iostephane"
4.0373,"Calanticaria"
5.671773,"Chromolepis"
5.671773,"Zaluzania"
5.12305,"Ambrosia"
5.12305,"Xanthium"
5.956327,"Parthenium"
3.353963,"Encelia"
3.353963,"Helianthella"
2.529704,"Enceliopsis"
2.529704,"Geraea"
6.583373,"Echinacea"
6.583373,"Acmella"
7.507783,"Trichocoryne"
2.224679,"Balsamorhiza"
2.224679,"Wyethia"
2.524174,"Agnorhiza"
2.524174,"Scabrethia"
5.111749,"Lindheimera"
5.111749,"Vigethia"
5.87145,"Borrichia"
6.602299,"Engelmannia"
6.602299,"Berlandiera"
0.723197,"Wedelia"
0.723197,"Wollastonia"
