"stem.age","genus"
208.748451,"Amborella"
159.170186,"Trithuria"
34.068967,"Brasenia"
34.068967,"Cabomba"
113,"Nymphaea"
113,"Nuphar"
121,"Hedyosmum"
21.058349,"Sarcandra"
21.058349,"Chloranthus"
45.202694,"Ascarina"
158.624135,"Ceratophyllum"
14.93184,"Trochodendron"
14.93184,"Tetracentron"
28.872888,"Aextoxicon"
28.872888,"Berberidopsis"
44.390374,"Pyrenacantha"
44.390374,"Iodes"
20.954338,"Pittosporopsis"
20.954338,"Metteniusa"
65.412794,"Eucommia"
65.412794,"Aucuba"
17.064177,"Nerium"
16.540313,"Holarrhena"
13.568181,"Oncinotis"
7.438949,"Cynanchum"
7.438949,"Asclepias"
13.950787,"Periploca"
12.854214,"Pentalinon"
12.854214,"Echites"
0.226129,"Toxocarpus"
0.226129,"Aganosma"
4.611231,"Morinda"
12.392933,"Apocynum"
4.646025,"Vallaris"
4.646025,"Beaumontia"
19.383414,"Wrightia"
25.405655,"Allamanda"
27.242567,"Rhazya"
28.097141,"Melodinus"
29.028406,"Kopsia"
20.669684,"Rauvolfia"
20.669684,"Catharanthus"
36.101962,"Exacum"
26.078861,"Fagraea"
20.919767,"Gentiana"
8.847236,"Megacodon"
8.847236,"Halenia"
53.51876,"Gelsemium"
22.284661,"Strychnos"
22.284661,"Gardneria"
34.775708,"Emmenopterys"
20.749656,"Wendlandia"
10.16795,"Coffea"
10.16795,"Tarennoidea"
7.263952,"Uncaria"
7.263952,"Sinoadina"
22.680471,"Psychotria"
14.867988,"Carapichea"
14.867988,"Chassalia"
27.533241,"Galium"
27.533241,"Mycetia"
22.369233,"Onosma"
17.348948,"Trichodesma"
17.348948,"Mertensia"
41.020188,"Phacelia"
30.920574,"Heliotropium"
30.920574,"Euploca"
36.840489,"Cordia"
32.76817,"Ehretia"
17.428872,"Pholisma"
17.428872,"Lennoa"
32.462374,"Rochefortia"
46.391881,"Carlemannia"
38.056907,"Jasminum"
22.630585,"Ligustrum"
11.900874,"Fraxinus"
6.330837,"Olea"
3.937955,"Chionanthus"
3.937955,"Forestiera"
5.782013,"Hesperelaea"
61.880918,"Polypremum"
42.658877,"Sinningia"
39.801675,"Rhynchoglossum"
19.549959,"Boea"
18.931859,"Saintpaulia"
12.826393,"Oreocharis"
12.826393,"Aeschynanthus"
47.745808,"Calceolaria"
29.816947,"Linaria"
29.816947,"Antirrhinum"
32.86351,"Callitriche"
32.863509,"Hippuris"
35.535704,"Digitalis"
35.535706,"Plantago"
22.767398,"Adenosma"
22.767398,"Trapella"
29.187943,"Scoparia"
31.000578,"Bacopa"
27.742315,"Anticharis"
27.742315,"Pentacoelium"
12.23359,"Scrophularia"
12.23359,"Verbascum"
19.196389,"Buddleja"
36.464396,"Byblis"
36.464396,"Lindernia"
13.325509,"Halleria"
13.325509,"Bowkeria"
21.038676,"Phryma"
6.72987,"Erythranthe"
6.72987,"Mimulus"
12.897412,"Lancea"
12.897412,"Mazus"
28.047283,"Paulownia"
26.680228,"Rehmannia"
18.30576,"Schwalbea"
18.30576,"Cymbaria"
16.478085,"Lathraea"
16.478085,"Brandisia"
11.2254,"Phtheirospermum"
11.2254,"Pedicularis"
12.890489,"Epifagus"
12.89049,"Conopholis"
20.090126,"Orobanche"
20.677205,"Cistanche"
23.816712,"Lindenbergia"
22.256686,"Tectona"
19.000946,"Scutellaria"
10.260113,"Microtoena"
7.344902,"Pogostemon"
7.344902,"Anisomeles"
9.433068,"Colquhounia"
6.677686,"Leonurus"
6.677686,"Marrubium"
4.537984,"Stachys"
0.308964,"Stenogyne"
0.301424,"Phyllostegia"
0.301423,"Haplostachys"
15.539036,"Teucrium"
14.565209,"Ajuga"
11.780698,"Clerodendrum"
11.780698,"Oxera"
18.652972,"Gmelina"
18.652972,"Premna"
20.31805,"Vitex"
20.31805,"Congea"
13.394065,"Lavandula"
10.073393,"Isodon"
10.073393,"Plectranthus"
11.168625,"Prunella"
7.271686,"Thymus"
5.293175,"Clinopodium"
2.975288,"Pycnanthemum"
2.975288,"Poliomintha"
5.598162,"Agastache"
5.598162,"Meehania"
8.976045,"Nepeta"
10.652194,"Melissa"
6.625543,"Rosmarinus"
6.625544,"Salvia"
30.544235,"Schlegelia"
23.672074,"Avicennia"
23.672074,"Thunbergia"
11.122378,"Phlogacanthus"
11.122378,"Andrographis"
14.859365,"Barleria"
10.650218,"Anisacanthus"
10.650218,"Asystasiella"
6.290798,"Sanchezia"
6.290798,"Strobilanthes"
7.025132,"Ruellia"
19.96749,"Genlisea"
19.96749,"Utricularia"
24.771968,"Pinguicula"
18.413283,"Verbena"
4.015682,"Phyla"
4.015682,"Lantana"
17.255922,"Handroanthus"
7.638281,"Markhamia"
7.638281,"Kigelia"
3.700245,"Pauldopia"
2.759609,"Mayodendron"
2.759609,"Radermachera"
19.092693,"Incarvillea"
10.965893,"Mansoa"
10.965893,"Tanaecium"
10.602527,"Uncarina"
10.602527,"Sesamum"
86.293336,"Hydrolea"
58.658695,"Cestrum"
55.819104,"Nicotiana"
9.353502,"Iochroma"
4.89378,"Brugmansia"
4.89378,"Datura"
4.9655,"Solanum"
4.9655,"Lycianthes"
15.391775,"Lycopersicon"
53.25074,"Capsicum"
52.2,"Physalis"
1.165186,"Dunalia"
1.165186,"Saracha"
0.419229,"Eriolarynx"
0.419229,"Acnistus"
16.648431,"Lycium"
8.966265,"Atropa"
6.876632,"Hyoscyamus"
4.814934,"Physochlaina"
4.814934,"Scopolia"
68.247038,"Cuscuta"
19.502367,"Convolvulus"
17.189784,"Merremia"
10.07201,"Argyreia"
10.072009,"Ipomoea"
87.429284,"Vahlia"
39.051127,"Helwingia"
39.051127,"Ilex"
65.5536,"Gomphandra"
52.9384,"Cardiopteris"
52.9384,"Gonocaryum"
76.22932,"Escallonia"
76.22932,"Polyosma"
21.66939,"Lobelia"
21.66939,"Brighamia"
54.6796,"Platycodon"
25.444036,"Trachelium"
25.444036,"Campanula"
6.37214,"Adenophora"
6.37214,"Hanabusaya"
81.190867,"Carpodetus"
82.797244,"Pentaphragma"
56.238562,"Phelline"
56.238562,"Corokia"
75.290365,"Scaevola"
72.1,"Nouelia"
4.075539,"Centaurea"
4.075539,"Carthamus"
8.240782,"Saussurea"
7.2275,"Cynara"
7.2275,"Silybum"
22.496178,"Tragopogon"
22.496178,"Lactuca"
23.183753,"Inula"
17.361449,"Helenium"
