"stem.age","genus"
151.122567,"Acorus"
59.165991,"Alisma"
59.165991,"Sagittaria"
95.058839,"Butomus"
69.880023,"Hydrocharis"
69.880023,"Stratiotesaloides"
122.391343,"Aponogeton"
47.635555,"Amphibolis"
47.635555,"Halodule"
63.109113,"Ruppia"
72.835633,"Posidonia"
33.025691,"Potamogeton"
33.025691,"Zannichellia"
69.190751,"Phyllospadix"
93.761865,"Maundia"
81.994467,"Tetroncium"
81.994467,"Triglochin"
114.631859,"Scheuchzeria"
84.987601,"Anthurium"
84.987601,"Pothoidium"
65.165719,"Epipremnum"
65.165719,"Spathiphyllum"
39.838651,"Arum"
39.838651,"Xanthosoma"
55.291078,"Gonatopus"
55.291078,"Stylochaeton"
25.717069,"Lasia"
25.717069,"Urospatha"
46.308941,"Lemna"
46.308941,"Spirodela"
126.234071,"Gymnostachys"
51.470231,"Orontium"
51.470231,"Symplocarpus"
144.743868,"Pleea"
75.144532,"Calamus"
75.144532,"Eugeissona"
56.228076,"Caryota"
56.228076,"Sabal"
66.00342,"Phoenix"
59.346641,"Ceroxylon"
59.346641,"Pseudophoenix"
67.617447,"Elaeis"
67.617447,"Iriartea"
83.292621,"Nypa"
123.930828,"Calectasia"
63.169643,"Cartonema"
40.521956,"Pollia"
40.521956,"Tradescantia"
93.897106,"Hanguana"
57.366428,"Anigozanthos"
57.366428,"Xiphidium"
80.569544,"Heteranthera"
36.908712,"Philydrella"
36.908712,"Philydrum"
64.820174,"Canna"
64.820174,"Calathea"
31.057574,"Costus"
31.057574,"Monocostus"
42.265965,"Renealmia"
42.265965,"Siphonochilus"
91.118071,"Ensete"
78.468672,"Heliconia"
59.508595,"Orchidantha"
27.055982,"Ravenala"
27.055982,"Strelitizia"
6.834444,"Anana"
6.834444,"Ochagavia"
9.23622,"Puya"
8.542312,"Fosterella"
8.542312,"Pitcairnia"
10.645922,"Cottendorfia"
10.645922,"Navia"
20.803059,"Hechtia"
18.611579,"Glomeropitcairnia"
18.611579,"Vriesea"
30.469186,"Lindmania"
47.164148,"Brocchinia"
117.299241,"Sparganium"
32.614619,"Capitularia"
32.614619,"Hypolytrum"
44.453461,"Coleochloa"
44.453461,"Rhynchospora"
54.177147,"Juncus"
54.177147,"Luzula"
104.895975,"Prionium"
93.46986,"Ecdeiocolea"
57.449448,"Anomochloa"
57.449448,"Streptochaeta"
29.709059,"Aristida"
29.709059,"Sartidia"
32.823505,"Centropodia"
20.214145,"Chloris"
20.214145,"Neyraudia"
15.703719,"Chionochloa"
15.703719,"Danthonia"
27.288431,"Eriachne"
27.288431,"Micraira"
40.208406,"Monachather"
40.208406,"Phragmites"
32.140557,"Thysanolaena"
32.140557,"Zea"
29.356435,"Arundinaria"
29.356435,"Bambusa"
42.506965,"Brachyelytrum"
42.506965,"Hordeum"
44.220765,"Oryza"
44.220765,"Rhynchoryza"
67.803271,"Streptogyna"
75.688641,"Puelia"
82.470021,"Pharus"
97.986866,"Joinvillea"
105.199468,"Flagellaria"
108.96962,"Anarthria"
71.961506,"Abolboda"
71.961506,"Xyris"
55.404345,"Eriocaulon"
55.404345,"Syngonanthus"
120.285407,"Mayaca"
49.88449,"Rapatea"
49.88449,"Stegolepis"
35.630616,"Agapanthus"
35.630616,"Allium"
45.374049,"Crinum"
30.993697,"Agave"
30.993697,"Anemarrhena"
43.363823,"Aphyllanthes"
21.448972,"Brodiaea"
21.448972,"Milla"
28.127621,"Ornithogalum"
28.127621,"Oziroe"
18.92453,"Asparagus"
18.92453,"Hemiphylacus"
34.182919,"Beaucarnea"
34.182919,"Eriospermum"
36.644761,"Cordyline"
36.644761,"Lomandra"
48.0492,"Bulbine"
48.0492,"Xanthorrhoea"
56.032774,"Dianella"
82.077584,"Xeronema"
43.331686,"Aristea"
20.595595,"Crocus"
20.595595,"Gladiolus"
20.240608,"Nivenia"
20.240608,"Witsenia"
54.232326,"Geosiris"
62.420942,"Patersonia"
49.341846,"Diplarrena"
49.341846,"Iris"
81.076219,"Isophysis"
101.85493,"Doryanthes"
88.090928,"Ixiolirion"
88.090928,"Cyanella"
39.607148,"Astelia"
39.607148,"Milligania"
19.886468,"Molineria"
19.886468,"Rhodohypoxis"
48.196608,"Lanaria"
84.632999,"Blandfordia"
102.387404,"Alania"
66.406275,"Apostasia"
66.406275,"Neuwiedia"
46.456648,"Cypripedium"
46.456648,"Paphiopedilum"
48.36316,"Habenaria"
48.36316,"Spiranthes"
47.802072,"Neottia"
47.802072,"Oncidium"
68.395885,"Pogonia"
68.395885,"Vanilla"
49.134848,"Alstroemeria"
49.134848,"Luzuriaga"
42.771637,"Colchicum"
42.771637,"Disporum"
101.041343,"Petermannia"
56.303095,"Calochortus"
56.303095,"Lilium"
58.542687,"Lapageria"
58.542687,"Ripogonum"
86.562118,"Smilax"
72.762619,"Trillium"
72.762619,"Veratrum"
64.394958,"Campynema"
64.394958,"Campynemanthe"
98.504886,"Arachnitis"
105.627341,"Afrothismia"
92.775574,"Trichopus"
88.986116,"Stenomeris"
72.567184,"Tacca"
72.567184,"Oxygyne"
49.373034,"Aletris"
49.373034,"Metanarthecium"
126.073896,"Campylosiphon"
60.031355,"Carludovica"
60.031355,"Cyclanthus"
42.655517,"Sciaphila"
42.655517,"Triuris"
64.095531,"Pandanus"
64.095531,"Sararanga"
57.744208,"Croomia"
57.744208,"Pentastemona"
57.072861,"Acanthochlamys"
57.072861,"Barbacenia"
145.66828,"Japonolirion"
131.48289,"Hedyosmum"
131.48289,"Sarcandra"
44.88916,"Canella"
44.88916,"Cinnamodendron"
31.608737,"Drimys"
31.608737,"Takhtajania"
84.289857,"Aristolochia"
84.289857,"Hydnora"
105.954945,"Lactoris"
119.415502,"Saruma"
31.29457,"Manekia"
31.29457,"Zippelia"
59.076358,"Peperomia"
69.852799,"Verhuellia"
60.537076,"Houttuynia"
60.537076,"Saururus"
39.126608,"Atherosperma"
39.126608,"Doryphora"
79.20873,"Gomortega"
97.774447,"Glossocalyx"
102.585465,"Gyrocarpus"
77.940275,"Hedycarya"
77.940275,"Peumus"
26.572883,"Beilschmiedia"
26.572883,"Cryptocarya"
55.168406,"Hypodaphniszenkeri"
56.117869,"Caryodaphnopsis"
34.540388,"Chlorocardium"
12.467207,"Cinnamomum"
12.467207,"Laurus"
27.691713,"Sextonia"
77.451391,"Cassytha"
94.129927,"Calycanthus"
94.129927,"Chimonanthus"
107.852959,"Idiospermum"
28.96436,"Ambavia"
28.96436,"Cananga"
34.306448,"Annickia"
34.306448,"Polyalthia"
43.606013,"Asimina"
43.606013,"Mkilua"
74.060464,"Anaxagorea"
98.266098,"Eupomatia"
112.61009,"Liriodendron"
89.708547,"Degeneria"
89.708547,"Galbulimima"
130.190401,"Mauloutchia"
55.250957,"Actinotus"
55.250957,"Mackinlaya"
23.41253,"Apium"
23.41253,"Heteromorpha"
26.60589,"Arctopus"
26.60589,"Sanicula"
25.505583,"Hermas"
25.505583,"Klotzschia"
37.294493,"Azorella"
37.294493,"Bowlesia"
64.896858,"Platysace"
29.438112,"Delarbrea"
29.438112,"Myodocarpus"
52.434341,"Hydrocotyle"
52.434341,"Panax"
28.701405,"Pittosporum"
28.701405,"Billardiera"
64.613016,"Aralidium"
64.613016,"Melanophylla"
86.355262,"Griselinia"
96.349105,"Pennantia"
49.71305,"Columellia"
49.71305,"Desfontainia"
61.501849,"Adoxa"
61.501849,"Viburnum"
55.205,"Diervilla"
37.465752,"Dipelta"
32.74629,"Morina"
19.281234,"Triplostegia"
19.281234,"Valeriana"
29.243818,"Zabelia"
46.985314,"Heptacodium"
51.799534,"Lonicera"
107.086116,"Eremosyne"
69.994783,"Paracryphia"
69.994783,"Quintinia"
67.605517,"Berzelia"
67.605517,"Linconia"
23.403186,"Alseuosmia"
23.403186,"Platyspermation"
18.753767,"Argophyllum"
18.753767,"Corokia"
71.817968,"Phelline"
73.872925,"Donatia"
73.872925,"Stylidium"
12.343278,"Ainsliaea"
12.343278,"Pertya"
14.37127,"Brachyglottis"
14.37127,"Helianthus"
18.210267,"Corymbium"
20.080403,"Gymnarrhena"
15.932499,"Sinclairia"
15.932499,"Tragopogon"
23.823203,"Echinops"
23.823203,"Oldenburgia"
29.7592,"Hecastocleis"
27.396284,"Nassauvia"
27.396284,"Onoseris"
20.097198,"Cnicothamnus"
20.097198,"Cyclolepis"
21.491165,"Hyalis"
21.491165,"Wunderlichia"
13.735312,"Hyaloseris"
13.735312,"Stifftia"
39.109022,"Famatinanthus"
29.213064,"Barnadesia"
29.213064,"Chuquiraga"
74.271443,"Boopis"
60.171169,"Dampiera"
60.171169,"Scaevola"
59.570804,"Menyanthes"
59.570804,"Nymphoides"
101.856527,"Pentaphragma"
26.670686,"Campanula"
26.670686,"Trachelium"
46.926956,"Codonopsis"
52.572617,"Cyphia"
43.164209,"Nemacladus"
43.164209,"Pseudonemacladus"
66.383875,"Lobelia"
73.321893,"Cyphocarpus"
100.351634,"Carpodetus"
75.611303,"Ilex"
63.336177,"Helwingia"
63.336177,"Phyllonoma"
59.05325,"Citronella"
59.05325,"Gonocaryum"
31.369595,"Irvingbaileya"
31.369595,"Lasianthera"
33.013952,"Borago"
33.013952,"Echiochilon"
53.171866,"Wellstedia"
38.619859,"Coldenia"
38.619859,"Hoplestigma"
33.817247,"Cordia"
33.817247,"Varronia"
59.299647,"Bourreria"
36.499443,"Heliotropium"
36.499443,"Ixorhea"
67.092532,"Eriodictyon"
37.670509,"Hydrophyllum"
37.670509,"Phacelia"
41.095211,"Acanthus"
41.095211,"Justicia"
50.204584,"Avicennia"
31.859001,"Mendoncia"
31.859001,"Thunbergia"
46.490791,"Nelsonia"
46.490791,"Staurogyne"
46.794926,"Catalpa"
46.794926,"Jacaranda"
53.395508,"Petrea"
55.081828,"Exarata"
55.081828,"Thomandersia"
59.690335,"Ibicella"
27.507229,"Ajuga"
27.507229,"Karomia"
35.452445,"Cornutia"
35.452445,"Premna"
